album,titulo,letra,compositor,artista
"{'titulo_album': 'Warner 30 Anos: Baden Powell', 'ano': '2006'}",Canto de Ossanha,"O homem que diz ""dou"" não dá, porque quem dá mesmo não diz
O homem que diz ""vou"" não vai, porque quando foi já não quis
O homem que diz ""sou"" não é, porque quem é mesmo é ""não sou""
O homem que diz ""tô"" não tá, porque ninguém tá quando quer
Coitado do homem que cai no canto de Ossanha, traidor
Coitado do homem que vai atrás de mandinga de amor
Vai, vai, vai, vai, não vou
Vai, vai, vai, vai, não vou
Vai, vai, vai, vai, não vou
Vai, vai, vai, vai, não vou
Que eu não sou ninguém de ir em conversa de esquecer
A tristeza de um amor que passou
Não, eu só vou se for pra ver uma estrela aparecer
Na manhã de um novo amor
Amigo senhor, saravá, Xangô me mandou lhe dizer
Se é canto de Ossanha, não vá, que muito vai se arrepender
Pergunte ao seu Orixá, o amor só é bom pra valer
Pergunte ao seu Orixá, o amor só é bom se doer
Vai, vai, vai, vai, amar
Vai, vai, vai, sofrer
Vai, vai, vai, vai, chorar
Vai, vai, vai, dizer
Que eu não sou ninguém de ir em conversa de esquecer
A tristeza de um amor que passou
Não, eu só vou se for pra ver uma estrela aparecer
Na manhã de um novo amor
",Composição:  Baden Powell / Vinícius de Moraes · ,Baden Powell
"{'titulo_album': 'A Benção Baden Powell', 'ano': '2005'}",Samba em Prelúdio,"Eu sem você
Não tenho porquê
Por que sem você
Não sei nem chorar
Sou chama sem luz
Jardim sem luar
Luar sem amor
Amor sem se dar...
E eu sem você
Sou só desamor
Um barco sem mar
Um campo sem flor
Tristeza que vai
Tristeza que vem
Sem você meu amor
Eu não sou ninguém...
Ah! Que saudade!
Que vontade de ver
Renascer nossa vida
Volta querido
Teus abraços
Precisam dos meus
Os meus braços
Precisam dos teus...
Estou tão sozinha
Tenho os olhos cansados
De olhar para o além
Vem ver a vida
Sem você meu amor
Eu não sou ninguém...
Ah! Que saudade!
Que vontade de ver
Renascer nossa vida
Volta querido
Teus abraços
Precisam dos meus
Os meus braços
Precisam dos teus...
Estou tão sozinha
Tenho os olhos cansados
De olhar para o além
Vem ver a vida
Sem você meu amor
Eu não sou ninguém
Sem você meu amor
Eu não sou ninguém
Sem você meu amor
Eu não sou ninguém...
",Composição:  Baden Powell / Vinícius de Moraes · ,Baden Powell
"{'titulo_album': 'A Benção Baden Powell', 'ano': '2005'}",Última Forma,"Intro: F6/9 C7/9
F7+ F6      Bm5-/7 E7       Am7/9 Am7
É, como eu falei    não ia durar
            Cm7      C#7           G7/9
Eu bem que avisei, pois é, vai desmoronar
                          A#7+
Hoje ou amanhã um vai se curvar
           Am7            Am7b
E graças a Deus, não vai ser eu quem vai mudar
      A5+/7
Você perdeu
Gm7 C7/9          Gm7   C7                  Am7  C7/9-
E sabendo com quem eu lidei não vou me prejudicar
     Cm3b        D7                     G7/9 Gm7/9
Nem sofrer, nem chorar, nem vou voltar atrás
              A#7+                          A7
Estou no meu lugar, não há razão pra se ter paz
            D5+/7               G7/9
Com quem só quis rasgar o meu cartaz
            C7             C5+/7 F7+
E agora pra mim você não é nada mais
          Bm5-/7 E7      Am7
E qualquer um pode se enganar
          D#º       D7              G7/9
Você foi comum, pois é, você foi vulgar
                    A#7+                      A7
O que é que eu fui fazer quando dispus te acompanhar
        D5+/7         G7/9
Porém pra mim você morreu
           C7                F7+
Você foi castigo que Deus me deu
      E7      Am7 Am7b   F7+     E7     Am7  A7
Não saberei jamais    se você mereceu perdão
Cm7/3b        D5+/7 Gm7 Gm7b  D#7+    D5+/7    Gm7
Porque eu não sou capaz   de esquecer uma ingratidão
           C5+/7  F7+
E você foi uma a mais
          E7            Am7
E qualquer um pode se enganar
          D#º       D5+/7          G7/9 Gm7/9
Você foi comum, pois é, você foi vulgar
                    A#7+                     A7
O que é que eu fui fazer quando dispus te acompanhar
  D5+/7              G7/9
Porém pra mim você morreu
           C5+/7             F7+
Você foi castigo que Deus me deu
        E7      Cm3b   D5+/7          G7/9
E como sempre se faz, aquele abraço, adeus
C7           F7+
",Composição:  Baden Powell · ,Baden Powell
"{'titulo_album': 'A Benção Baden Powell', 'ano': '2005'}",Violão Vadio,"Novamente juntos eu e o violão
Vagando devagar, por vagar
Cantando uma canção qualquer, só por cantar
Mercê da solidão
Vadiando em vão por aí
Nós vamos seguir,
Outra rua, outro bar, outro amigo, outra mão
Qualquer companheira, qualquer direção
Até chegar em qualquer lugar
Qualquer que seja a morte a esperar
Jamais meu violão me abandonará
Se eu vivi, foi inútil viver
Já mais nada me resta saber
Quero ouvir meu violão gemer
Até me serenizar
",Composição:  Baden Powell e  Paulo César Pinheiro · ,Baden Powell
"{'titulo_album': 'A Benção Baden Powell', 'ano': '2005'}",Canto de Xangô,"Eu vim de bem longe
Eu vim, nem sei mais de onde é que eu vim
Sou filho de Rei
Muito lutei pra ser o que eu sou
Eu sou negro de cor
Mas tudo é só o amor em mim
Tudo é só o amor para mim
Xangô Agodô
Hoje é tempo de amor
Hoje é tempo de dor, em mim
Xangô Agodô
Salve, Xangô, meu Rei Senhor
Salve, meu Orixá
Tem sete cores sua cor
Sete dias para gente amar
Mas amar é sofrer
Mas amar é morrer de dor
Xangô meu Senhor, saravá!
Me faça sofrer
Ah, me faça morrer
Ah, me faça morrer de amar
Xangô, meu Senhor, saravá
Xangô Agodô
",Composição:  Baden Powell / Vinícius de Moraes · ,Baden Powell
"{'titulo_album': 'A Benção Baden Powell', 'ano': '2005'}",Deixa,"Deixa
Fale quem quiser falar, meu bem
Deixa
Deixe o coração falar também
Porque ele tem razão demais quando se queixa
Então a gente deixa, deixa, deixa, deixa
Ninguém vive mais do que uma vez
Deixa
Diz que sim prá não dizer talvez
Deixa
A Paixão também existe
Deixa
Não me deixe ficar triste
",Composição:  Baden Powell / Vinícius de Moraes · ,Baden Powell
"{'titulo_album': 'Série Gold: Baden Powell', 'ano': '2002'}",Euridice,"Tantas vezes já partiste
Que chego a desesperar
Chorei tanto, sou tão triste
Que já nem sei mais chorar
Oh, meu amado não partas
Não partas de mim
Oh, uma partida que não tem fim
Não há nada que conforte
A falta dos olhos teus
Pensa que a saudade
Mais do que a própria morte
Pode matar-me
Adeus
",Composição:  Vinícius de Moraes · ,Baden Powell
"{'titulo_album': 'Série Gold: Baden Powell', 'ano': '2002'}",Lamento,"Morena tem pena
Mas ouve o meu lamento
Tento em vão
Te esquecer
Mas olha, o meu tormento
É tanto, que eu vivo em pranto,
Sou todo infeliz
Não há coisa mais triste, meu benzinho,
Que este chorinho que eu te fiz
Sozinho, morena
Você nem tem mais pena
Ai, meu bem
Fiquei tão só
Tem dó, tem dó de mim
Porque estou triste assim
Por amor de você
Não há coisa mais linda neste mundo
Que o meu carinho por você
Meu amor, tem dó
Meu amor, tem dó
",Composição:  Pixinguinha / Vinícius de Moraes · ,Baden Powell
"{'titulo_album': 'Série Gold: Baden Powell', 'ano': '2002'}",Chão de Estrelas,"Minha vida era um palco iluminado
Eu vivia vestido de dourado
Palhaço das perdidas ilusões
Cheio dos guizos falsos da alegria
Andei cantando a minha fantasia
Entre as palmas febris dos corações
Meu barracão no morro do salgueiro
Tinha o cantar alegre de um viveiro
Foste a sonoridade que acabou
E hoje, quando do sol, a claridade
Forra o meu barracão, sinto saudade
Da mulher pomba-rola que voou...
Nossas roupas comuns, dependuradas
Na corda, qual bandeiras agitadas
Pareciam um estranho festival
Festa dos nossos trapos coloridos
A mostrar que nos morros mal vestidos
É sempre feriado nacional
A porta do barraco era sem trinco
Mas a lua furando nosso zinco
Salpicava de estrelas nosso chão
Tu pisavas nos astros distraída
Sem saber que a ventura desta vida
É a cabrocha, o luar e o violão
",Composição:  Orestes Barbosa / Silvio Caldas · ,Baden Powell
"{'titulo_album': 'Série Gold: Baden Powell', 'ano': '2002'}",Manhã de Carnaval,"Manhã, tão bonita manhã
Na vida uma nova canção
Cantando só teus olhos
Teu riso, tuas mãos
Pois há de haver um dia
Em que virás
Das cordas do meu violão
Que só teu amor procurou
Vem uma voz
Falar dos beijos perdidos
Nos lábios teus
Canta o meu coração
Alegria voltou
Tão feliz a manhã deste amor.
",Composição:  Antônio Maria / Luiz Bonfá · ,Baden Powell
"{'titulo_album': 'Millennium: Baden Powell', 'ano': '2002'}",Carinhoso,"Meu coração
Não sei por que
Bate feliz
Quando te vê
E os meus olhos ficam sorrindo
E pelas ruas vão te seguindo
Mas mesmo assim foges de mim
Ah, se tu soubesses como eu sou tão carinhoso
E muito, muito que te quero
E como é sincero o meu amor
Eu sei que tu não fugirias mais de mim
Vem, vem, vem, vem
Vem sentir o calor
Dos lábios meus
A procura dos teus
Vem matar esta paixão
Que me devora o coração
E só assim então serei feliz, bem feliz
",Composição:  João de Barro / Pixinguinha (Alfredo Vianna) · ,Baden Powell
"{'titulo_album': 'Grandes Interpretações', 'ano': '2006'}",Chora Tua Tristeza,"Chora...
Que a tristeza /  foge do teu olhar
Brincando de esquecer
Saudade vai passar
E o amor /   já vai chegar
Então
Canta  /  que a beleza
Volta pra te encantar    
Um sonho tão pequeno
Que o dia escondeu
Guardando pra te dar
É tão bonito gostar
E querer ficar
Com alguém pra quem possa dizer:
Olha
Quantas estrelas / nascem pra te encontrar
Depois do céu azul
A noite vai chegar
 E eu /  pra te amar
",Composição:  Luverci Fiorini / Oscar Castro-Neves · ,Agostinho dos Santos
"{'titulo_album': 'Grandes Interpretações', 'ano': '2006'}",Dindi,"Céu, tão grande é o céu 
E bando de nuvens que passam ligeiras 
Para onde elas vão 
Ah, eu não sei,   não sei 
E o vento que fala nas folhas 
Contando as histórias que são de ninguém 
Mas que são minhas    e de você também . . .  
 
   
Ai, Dindi   se soubesses o bem que eu te quero 
O mundo seria, Dindi 
Tudo, Dindi,   lindo  Dindi 
Ai, Dindi,  se um dia você for embora 
Me leva contigo, Dindi  /   Fica Dindi    
Olha Dindi  
 
   
E as águas deste rio  /      Onde vão   eu  não sei 
A minha vida inteira  /    Esperei,             esperei 
Por você, Dindi 
Que é a coisa mais linda que existe 
Você não existe, Dindi 
Olha Dindi,  adivinha Dindi,  deixa Dindi 
Que eu te adore,  Dindi
",Composição:  Aloysio de Oliveira / Antonio Carlos Jobim · ,Agostinho dos Santos
"{'titulo_album': 'Grandes Interpretações', 'ano': '2006'}",A Noite do Meu Bem,"Hoje eu quero a rosa mais linda que houver
E a primeira estrela que vier
Para enfeitar a noite do meu bem
Hoje eu quero a paz de criança dormindo
E o abandono de flores se abrindo
Para enfeitar a noite do meu bem
Quero a alegria de um barco voltando
Quero a ternura de mãos se encontrando
Para enfeitar a noite do meu bem
Ah, eu quero o amor, o amor mais profundo
Eu quero toda a beleza do  mundo
Para enfeitar a noite do meu bem
Quero a alegria de um barco voltando
Quero a ternura de mãos se encontrando
Para enfeitar a noite do meu bem
Ah, como esse amor demorou a chegar
Eu já nem sei se terei no olhar
Toda a ternura que eu quero lhe dar
",Composição:  Dolores Durán · ,Agostinho dos Santos
"{'titulo_album': 'Reviva - Super Bossa Nova', 'ano': '2002'}",Desafinado,"Quando eu vou cantar você não deixa 
E sempre vem a mesma queixa 
Diz que eu desafino, que eu não sei cantar 
Você é tão bonita 
Mas toda beleza 
Também pode se acabar 
Se você disser que eu desafino amor 
Saiba que isso em mim provoca imensa dor 
Só privilegiados têm ouvido igual ao seu 
Eu possuo apenas o que Deus me deu 
Se você insiste em classificar 
Meu comportamento de anti musical 
Eu, mesmo mentindo devo argumentar 
Que isto é bossa nova 
Que isto é muito natural 
O que você não sabe, nem sequer pressente 
É que os desafinados também têm um coração 
Fotografei você na minha Rolleyflex 
Revelou-se a sua enorme ingratidão 
Só não poderá falar assim do meu amor 
Este é o maior que você pode encontrar, viu/ 
Você com a sua música esqueceu o principal 
Que no peito dos desafinados 
No fundo do peito bate calado 
Que no peito dos desafinados 
Também bate um coração
",Composição:  Antonio Carlos Jobim / Newton Mendonça · ,Agostinho dos Santos
"{'titulo_album': 'Agostinho Dos Santos', 'ano': '2003'}",Aprende a Viver,"Deixa o sol beijar teu rosto moreno
e o teu cabelo
Há felicidade quando a mocidade
só crê no que é belo
Aprende a viver e a conhecer
o sabor da vida
É eterna a esperança quando a confiança
não está perdida
Deixa que o luar te venha afagar
quando a noite é bela
E canta a pureza que tem a beleza
da canção singela
Aprende a lição que o teu coração
há muito te diz
E serás feliz, e serás feliz, e serás feliz
",Composição:  Agostinho Dos Santos / Matos Maia · ,Agostinho dos Santos
